Category,Graham
Total_doses_administered,47971
Total_people_one_dose,22153
Total_people_complete,19117
total_pouluation,22153
Male-65 years and older,2456
Male-55-64 years,1620
Male-45-54 years,1481
Male-20-44 years,3729
Male-Less than 20 years,1402
Female-65 years and older,2958
Female-55-64 years,1754
Female-45-54 years,1450
Female-20-44 years,3774
Female-Less than 20 years,1517
"Asian or Pacific Islander, non-Hispanic",90
"Black or African American, non-Hispanic",97
Other Race,1328
Hispanic or Latino,4024
Unknown,4155
"American Indian or Alaska Native, non-Hispanic",5723
"White, non-Hispanic",6736
