Category,Santa Cruz
Total_doses_administered,123075
Total_people_one_dose,62276
Total_people_complete,46096
total_pouluation,62276
Male-65 years and older,4933
Male-55-64 years,3497
Male-45-54 years,3673
Male-20-44 years,9687
Male-Less than 20 years,8025
Female-65 years and older,5975
Female-55-64 years,3904
Female-45-54 years,4046
Female-20-44 years,10259
Female-Less than 20 years,8184
"American Indian or Alaska Native, non-Hispanic",58
"Black or African American, non-Hispanic",61
"Asian or Pacific Islander, non-Hispanic",191
Other Race,3667
Unknown,5078
"White, non-Hispanic",7971
Hispanic or Latino,45250
