Category,Yavapai
Total_doses_administered,262524
Total_people_one_dose,121521
Total_people_complete,101557
total_pouluation,121521
Male-65 years and older,26757
Male-55-64 years,9435
Male-45-54 years,5210
Male-20-44 years,10729
Male-Less than 20 years,3195
Female-65 years and older,32488
Female-55-64 years,11923
Female-45-54 years,6194
Female-20-44 years,10965
Female-Less than 20 years,3483
"Black or African American, non-Hispanic",610
"American Indian or Alaska Native, non-Hispanic",1494
"Asian or Pacific Islander, non-Hispanic",1521
Hispanic or Latino,8692
Other Race,17835
Unknown,18413
"White, non-Hispanic",72956
