Category,Apache
Total_doses_administered,66694
Total_people_one_dose,31292
Total_people_complete,23394
total_pouluation,31292
Male-65 years and older,2906
Male-55-64 years,2113
Male-45-54 years,1707
Male-20-44 years,4131
Male-Less than 20 years,4421
Female-65 years and older,3486
Female-55-64 years,2279
Female-45-54 years,1697
Female-20-44 years,4020
Female-Less than 20 years,4522
"Black or African American, non-Hispanic",62
"Asian or Pacific Islander, non-Hispanic",140
Hispanic or Latino,615
Unknown,1185
Other Race,1186
"White, non-Hispanic",3746
"American Indian or Alaska Native, non-Hispanic",24358
