Category,La Paz
Total_doses_administered,18977
Total_people_one_dose,9301
Total_people_complete,7628
total_pouluation,9301
Male-65 years and older,2516
Male-55-64 years,654
Male-45-54 years,336
Male-20-44 years,705
Male-Less than 20 years,396
Female-65 years and older,2503
Female-55-64 years,768
Female-45-54 years,386
Female-20-44 years,629
Female-Less than 20 years,389
"Black or African American, non-Hispanic",43
"Asian or Pacific Islander, non-Hispanic",94
"American Indian or Alaska Native, non-Hispanic",556
Other Race,1219
Hispanic or Latino,1393
Unknown,1917
"White, non-Hispanic",4079
