Category,Cochise
Total_doses_administered,179054
Total_people_one_dose,86179
Total_people_complete,69290
total_pouluation,86179
Male-65 years and older,11659
Male-55-64 years,5760
Male-45-54 years,4587
Male-20-44 years,12274
Male-Less than 20 years,6403
Female-65 years and older,13633
Female-55-64 years,6848
Female-45-54 years,5149
Female-20-44 years,13033
Female-Less than 20 years,6731
"American Indian or Alaska Native, non-Hispanic",380
"Asian or Pacific Islander, non-Hispanic",1547
"Black or African American, non-Hispanic",1667
Unknown,10435
Other Race,12303
Hispanic or Latino,25642
"White, non-Hispanic",34205
