Category,Navajo
Total_doses_administered,107841
Total_people_one_dose,51727
Total_people_complete,41767
total_pouluation,51727
Male-65 years and older,7592
Male-55-64 years,3705
Male-45-54 years,2833
Male-20-44 years,6142
Male-Less than 20 years,4828
Female-65 years and older,8555
Female-55-64 years,4222
Female-45-54 years,2843
Female-20-44 years,6044
Female-Less than 20 years,4923
"Black or African American, non-Hispanic",215
"Asian or Pacific Islander, non-Hispanic",385
Unknown,2496
Hispanic or Latino,2710
Other Race,6462
"White, non-Hispanic",16553
"American Indian or Alaska Native, non-Hispanic",22906
