Category,Arizona
Total_doses_administered,10430021
Total_people_complete,4035035
total_pouluation,7189020
Total_people_one_dose,4877114
Male-65 years and older,588273
Male-55-64 years,341335
Male-45-54 years,308487
Male-20-44 years,773672
Male-Less than 20 years,298028
Female-65 years and older,714662
Female-55-64 years,387969
Female-45-54 years,332188
Female-20-44 years,809204
Female-Less than 20 years,303437
"Black or African American, non-Hispanic",149512
"Asian or Pacific Islander, non-Hispanic",187716
"American Indian or Alaska Native, non-Hispanic",212647
Unknown,438763
Other Race,688791
Hispanic or Latino,933877
"White, non-Hispanic",2265808
