Category,Navajo
Total_doses_administered,62146
Total_people_one_dose,35054
Total_people_complete,30575
Total_doses_ordered,40790
total_pouluation,112825
Male-65 years and older,6197
Male-55-64 years,2816
Male-45-54 years,1938
Male-20-44 years,3921
Male-Less than 20 years,2510
Female-65 years and older,6653
Female-55-64 years,3121
Female-45-54 years,1982
Female-20-44 years,3259
Female-Less than 20 years,2625
"Black or African American, non-Hispanic",197
"Asian or Pacific Islander, non-Hispanic",360
Unknown,1876
Hispanic or Latino,1999
Other Race,7599
"American Indian or Alaska Native, non-Hispanic",9581
"White, non-Hispanic",13442
