Category,Pinal
Total_doses_administered,297368
Total_people_one_dose,168986
Total_people_complete,151431
Total_doses_ordered,196653
total_pouluation,455210
Male-65 years and older,29414
Male-55-64 years,13250
Male-45-54 years,11942
Male-20-44 years,26432
Male-Less than 20 years,4506
Female-65 years and older,33765
Female-55-64 years,14221
Female-45-54 years,10753
Female-20-44 years,19440
Female-Less than 20 years,4671
"Asian or Pacific Islander, non-Hispanic",3100
"Black or African American, non-Hispanic",4647
"American Indian or Alaska Native, non-Hispanic",8088
Other Race,17986
Hispanic or Latino,25921
Unknown,34471
"White, non-Hispanic",74773
