Category,Gila
Total_doses_administered,50430
Total_people_one_dose,28052
Total_people_complete,25023
Total_doses_ordered,36570
total_pouluation,55159
Male-65 years and older,5784
Male-55-64 years,2571
Male-45-54 years,1550
Male-20-44 years,2988
Male-Less than 20 years,603
Female-65 years and older,6138
Female-55-64 years,2870
Female-45-54 years,1665
Female-20-44 years,3111
Female-Less than 20 years,712
"Black or African American, non-Hispanic",92
"Asian or Pacific Islander, non-Hispanic",254
Hispanic or Latino,1232
Other Race,4705
Unknown,5276
"American Indian or Alaska Native, non-Hispanic",5449
"White, non-Hispanic",11044
