Category,Arizona
Total_doses_administered,6833491
Total_people_complete,3349165
Total_doses_ordered,5244710
total_pouluation,7189020
Total_people_one_dose,3752700
Male-65 years and older,508010
Male-55-64 years,288476
Male-45-54 years,245829
Male-20-44 years,569524
Male-Less than 20 years,137301
Female-65 years and older,627062
Female-55-64 years,333844
Female-45-54 years,271481
Female-20-44 years,604829
Female-Less than 20 years,147035
"Black or African American, non-Hispanic",100139
"American Indian or Alaska Native, non-Hispanic",101678
"Asian or Pacific Islander, non-Hispanic",144344
Unknown,407834
Hispanic or Latino,602908
Other Race,640866
"White, non-Hispanic",1754931
