Category,Cochise
Total_doses_administered,115550
Total_people_one_dose,64805
Total_people_complete,57493
Total_doses_ordered,89070
total_pouluation,130808
Male-65 years and older,10510
Male-55-64 years,5055
Male-45-54 years,3610
Male-20-44 years,9128
Male-Less than 20 years,2230
Female-65 years and older,12449
Female-55-64 years,6078
Female-45-54 years,4193
Female-20-44 years,9130
Female-Less than 20 years,2331
"American Indian or Alaska Native, non-Hispanic",308
"Black or African American, non-Hispanic",1201
"Asian or Pacific Islander, non-Hispanic",1261
Unknown,8625
Other Race,9963
Hispanic or Latino,15282
"White, non-Hispanic",28165
