Category,Yavapai
Total_doses_administered,183712
Total_people_one_dose,104844
Total_people_complete,88795
Total_doses_ordered,166400
total_pouluation,232386
Male-65 years and older,23545
Male-55-64 years,8221
Male-45-54 years,4653
Male-20-44 years,8950
Male-Less than 20 years,1729
Female-65 years and older,29372
Female-55-64 years,10580
Female-45-54 years,5441
Female-20-44 years,9114
Female-Less than 20 years,1929
"Black or African American, non-Hispanic",509
"American Indian or Alaska Native, non-Hispanic",1037
"Asian or Pacific Islander, non-Hispanic",1356
Hispanic or Latino,6236
Other Race,16123
Unknown,26745
"White, non-Hispanic",52838
