Category,Mohave
Total_doses_administered,148674
Total_people_one_dose,85087
Total_people_complete,71195
Total_doses_ordered,126080
total_pouluation,216985
Male-65 years and older,21008
Male-55-64 years,8060
Male-45-54 years,4013
Male-20-44 years,6568
Male-Less than 20 years,961
Female-65 years and older,23419
Female-55-64 years,9449
Female-45-54 years,4267
Female-20-44 years,6067
Female-Less than 20 years,1123
"Black or African American, non-Hispanic",573
"American Indian or Alaska Native, non-Hispanic",850
"Asian or Pacific Islander, non-Hispanic",1221
Hispanic or Latino,5665
Unknown,14525
Other Race,15418
"White, non-Hispanic",46835
