Category,Coconino
Total_doses_administered,145881
Total_people_one_dose,79741
Total_people_complete,72463
Total_doses_ordered,96258
total_pouluation,147275
Male-65 years and older,7554
Male-55-64 years,5895
Male-45-54 years,5240
Male-20-44 years,15737
Male-Less than 20 years,2740
Female-65 years and older,8641
Female-55-64 years,6612
Female-45-54 years,5456
Female-20-44 years,18271
Female-Less than 20 years,3519
"Black or African American, non-Hispanic",561
"Asian or Pacific Islander, non-Hispanic",1185
Hispanic or Latino,5376
Other Race,9247
"American Indian or Alaska Native, non-Hispanic",16497
Unknown,16677
"White, non-Hispanic",30198
