Category,Graham
Total_doses_administered,18328
Total_people_one_dose,10005
Total_people_complete,9086
Total_doses_ordered,18370
total_pouluation,38476
Male-65 years and older,1559
Male-55-64 years,878
Male-45-54 years,744
Male-20-44 years,1691
Male-Less than 20 years,125
Female-65 years and older,1941
Female-55-64 years,1004
Female-45-54 years,650
Female-20-44 years,1246
Female-Less than 20 years,157
"Black or African American, non-Hispanic",0.0030984507746127
"Asian or Pacific Islander, non-Hispanic",0.0032983508245877
Other Race,0.0289855072463768
"American Indian or Alaska Native, non-Hispanic",0.0764617691154423
Hispanic or Latino,0.1578210894552724
"White, non-Hispanic",0.2252873563218391
Unknown,0.5050474762618692
