,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,4926816,1425876,15724,83322,119065,38517,15102,7848,14433,1806790,105740,42638,667281,207198,42778,152638,134429
Total_people_one_dose,2893584,807565,9074,50246,66537,22504,8959,4460,8374,1107382,65439,25590,395301,125268,25974,89824,81087
Total_people_complete,2211664,,,,,,,,,,,,,,,,
Total_doses_ordered,4643380,,,,,,,,,,,,,,,,
65 years and older,573308,,,,,,,,,,,,,,,,
55-64 years,287498,,,,,,,,,,,,,,,,
45-54 years,211464,,,,,,,,,,,,,,,,
20-44 years,443804,,,,,,,,,,,,,,,,
Less than 20 years,49223,,,,,,,,,,,,,,,,
65 years and older,8374,,,,,,,,,,,,,,,,
55-64 years,238949,,,,,,,,,,,,,,,,
45-54 years,182964,,,,,,,,,,,,,,,,
20-44 years,394065,,,,,,,,,,,,,,,,
Less than 20 years,42202,,,,,,,,,,,,,,,,
"Black or African American, non-Hispanic",64629,,,,,,,,,,,,,,,,
"American Indian or Alaska Native, non-Hispanic",67859,,,,,,,,,,,,,,,,
"Asian or Pacific Islander, non-Hispanic",106401,,,,,,,,,,,,,,,,
Hispanic or Latino,368543,,,,,,,,,,,,,,,,
Unknown,394510,,,,,,,,,,,,,,,,
Other Race,494986,,,,,,,,,,,,,,,,
"White, non-Hispanic",1396656,,,,,,,,,,,,,,,,
