Category,Santa Cruz
Total_doses_administered,42778
Total_people_one_dose,25974
Total_people_complete,18321
Total_doses_ordered,44200
total_pouluation,53161
Male-65 years and older,3301
Male-55-64 years,2155
Male-45-54 years,2140
Male-20-44 years,4265
Male-Less than 20 years,555
Female-65 years and older,4040
Female-55-64 years,2294
Female-45-54 years,2288
Female-20-44 years,4255
Female-Less than 20 years,608
"American Indian or Alaska Native, non-Hispanic",0.0004235004235004
"Black or African American, non-Hispanic",0.0006545006545007
"Asian or Pacific Islander, non-Hispanic",0.0026180026180026
Other Race,0.0336490336490337
Unknown,0.0803880803880804
"White, non-Hispanic",0.1421036421036421
Hispanic or Latino,0.7401632401632402
