,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,3609827,1010751,13505,61613,98594,33548,11914,7166,11542,1317355,72642,34500,494507,154717,28948,118431,102985
Total_people_one_dose,2263254,646434,7938,39444,57990,20424,7388,4089,7425,823832,48658,21977,318438,96338,18609,73276,70994
Total_people_complete,1453721,,,,,,,,,,,,,,,,
Total_doses_ordered,3198240,,,,,,,,,,,,,,,,
65 years and older,527437,,,,,,,,,,,,,,,,
55-64 years,243062,,,,,,,,,,,,,,,,
45-54 years,152013,,,,,,,,,,,,,,,,
20-44 years,309076,,,,,,,,,,,,,,,,
Less than 20 years,24819,,,,,,,,,,,,,,,,
65 years and older,70994,,,,,,,,,,,,,,,,
55-64 years,195784,,,,,,,,,,,,,,,,
45-54 years,121265,,,,,,,,,,,,,,,,
20-44 years,241360,,,,,,,,,,,,,,,,
Less than 20 years,19747,,,,,,,,,,,,,,,,
"Black or African American, non-Hispanic",44403,,,,,,,,,,,,,,,,
"American Indian or Alaska Native, non-Hispanic",58305,,,,,,,,,,,,,,,,
"Asian or Pacific Islander, non-Hispanic",73528,,,,,,,,,,,,,,,,
Hispanic or Latino,241708,,,,,,,,,,,,,,,,
"Unknown, non-Hispanic",320684,,,,,,,,,,,,,,,,
"Other Race, non-Hispanic",408025,,,,,,,,,,,,,,,,
"White, non-Hispanic",1118652,,,,,,,,,,,,,,,,
