Category,Graham
Total_doses_administered,42170
Total_people_one_dose,20746
Total_people_complete,18347
total_pouluation,20746
Male-65 years and older,2378
Male-55-64 years,1572
Male-45-54 years,1429
Male-20-44 years,3534
Male-Less than 20 years,1089
Female-65 years and older,2881
Female-55-64 years,1711
Female-45-54 years,1408
Female-20-44 years,3560
Female-Less than 20 years,1172
"Asian or Pacific Islander, non-Hispanic",83
"Black or African American, non-Hispanic",90
Other Race,1296
Hispanic or Latino,3710
Unknown,4042
"American Indian or Alaska Native, non-Hispanic",5146
"White, non-Hispanic",6379
