Category,Greenlee
Total_doses_administered,8898
Total_people_one_dose,4277
Total_people_complete,3720
total_pouluation,4277
Male-65 years and older,510
Male-55-64 years,367
Male-45-54 years,324
Male-20-44 years,775
Male-Less than 20 years,197
Female-65 years and older,511
Female-55-64 years,315
Female-45-54 years,322
Female-20-44 years,750
Female-Less than 20 years,204
"Asian or Pacific Islander, non-Hispanic",43
"Black or African American, non-Hispanic",50
Other Race,86
"American Indian or Alaska Native, non-Hispanic",117
Unknown,306
"White, non-Hispanic",1756
Hispanic or Latino,1919
