Category,Mohave
Total_doses_administered,177494
Total_people_one_dose,88572
Total_people_complete,75480
total_pouluation,88572
Male-65 years and older,20513
Male-55-64 years,8126
Male-45-54 years,4213
Male-20-44 years,7364
Male-Less than 20 years,1702
Female-65 years and older,22773
Female-55-64 years,9459
Female-45-54 years,4782
Female-20-44 years,7549
Female-Less than 20 years,1914
"Black or African American, non-Hispanic",593
"American Indian or Alaska Native, non-Hispanic",720
"Asian or Pacific Islander, non-Hispanic",1325
Hispanic or Latino,6975
Unknown,11437
Other Race,14239
"White, non-Hispanic",53283
