Category,Coconino
Total_doses_administered,195004
Total_people_one_dose,92974
Total_people_complete,81115
total_pouluation,92974
Male-65 years and older,9313
Male-55-64 years,6285
Male-45-54 years,5715
Male-20-44 years,16897
Male-Less than 20 years,5775
Female-65 years and older,10506
Female-55-64 years,7072
Female-45-54 years,5816
Female-20-44 years,19276
Female-Less than 20 years,6056
"Black or African American, non-Hispanic",765
"Asian or Pacific Islander, non-Hispanic",1571
Hispanic or Latino,6938
Other Race,8529
Unknown,12768
"American Indian or Alaska Native, non-Hispanic",22144
"White, non-Hispanic",40259
