Category,La Paz
Total_doses_administered,17203
Total_people_one_dose,8731
Total_people_complete,7438
total_pouluation,8731
Male-65 years and older,2361
Male-55-64 years,601
Male-45-54 years,319
Male-20-44 years,658
Male-Less than 20 years,351
Female-65 years and older,2395
Female-55-64 years,721
Female-45-54 years,368
Female-20-44 years,585
Female-Less than 20 years,354
"Black or African American, non-Hispanic",38
"Asian or Pacific Islander, non-Hispanic",89
"American Indian or Alaska Native, non-Hispanic",507
Other Race,1150
Hispanic or Latino,1298
Unknown,1792
"White, non-Hispanic",3857
