Category,Cochise
Total_doses_administered,155219
Total_people_one_dose,78685
Total_people_complete,65986
total_pouluation,78685
Male-65 years and older,11035
Male-55-64 years,5397
Male-45-54 years,4237
Male-20-44 years,11363
Male-Less than 20 years,4994
Female-65 years and older,12980
Female-55-64 years,6434
Female-45-54 years,4756
Female-20-44 years,12024
Female-Less than 20 years,5364
"American Indian or Alaska Native, non-Hispanic",350
"Asian or Pacific Islander, non-Hispanic",1448
"Black or African American, non-Hispanic",1536
Unknown,9261
Other Race,11690
Hispanic or Latino,21806
"White, non-Hispanic",32594
