Category,Apache
Total_doses_administered,57886
Total_people_one_dose,28523
Total_people_complete,22385
total_pouluation,28523
Male-65 years and older,2753
Male-55-64 years,2003
Male-45-54 years,1602
Male-20-44 years,3760
Male-Less than 20 years,3821
Female-65 years and older,3311
Female-55-64 years,2141
Female-45-54 years,1573
Female-20-44 years,3674
Female-Less than 20 years,3877
"Black or African American, non-Hispanic",59
"Asian or Pacific Islander, non-Hispanic",129
Hispanic or Latino,562
Unknown,1100
Other Race,1116
"White, non-Hispanic",3601
"American Indian or Alaska Native, non-Hispanic",21956
