Category,Arizona,Apache,Coconino,Cochise,Graham,Greenlee,Gila,La Paz,Maricopa,Mohave,Navajo,Pinal,Pima,Santa Cruz,Yavapai,Yuma
Total_doses_administered,9259838,57886,195004,155219,42170,8898,54214,17203,5374829,177494,96469,496957,1498661,105032,236775,297840
Total_people_complete,445187,22385,81115,65986,18347,3720,22772,7438,2285435,75480,40154,217645,622765,43845,97839,125492
total_pouluation,7189020,28523,92974,78685,20746,4277,25763,8731,2602420,88572,48230,247208,713682,54658,115646,152347
Total_people_one_dose,4548287,28523,92974,78685,20746,4277,25763,8731,2602420,88572,48230,247208,713682,54658,115646,152347
Male-65 years and older,558031,2753,9313,11035,2378,510,5757,2361,282655,20513,7247,36318,90876,4649,25560,15873
Male-55-64 years,324583,2003,6285,5397,1572,367,2217,601,186602,8126,3541,18144,47555,3233,9077,10205
Male-45-54 years,293000,1602,5715,4237,1429,324,1246,319,180945,4213,2668,16608,40889,3371,4983,9078
Male-20-44 years,725529,3760,16897,11363,3534,775,2368,658,431822,7364,5686,37763,109520,8948,10049,27504
Male-Less than 20 years,247328,3821,5775,4994,1089,197,678,351,139769,1702,4197,11871,40691,5958,2781,11679
Female-65 years and older,680239,3311,10506,12980,2881,511,6164,2395,353530,22773,8189,41864,117012,5619,31255,18405
Female-55-64 years,369764,2141,7072,6434,1711,315,2591,721,210158,9459,4064,20470,57020,3512,11516,10907
Female-45-54 years,316261,1573,5816,4756,1408,322,1391,368,196445,4782,2676,16900,46462,3647,5939,9982
Female-20-44 years,758957,3674,19276,12024,3560,750,2545,585,462881,7549,5602,34784,120283,9244,10282,26005
Female-Less than 20 years,254771,3877,6056,5364,1172,204,748,354,143168,1914,4324,11738,41916,6394,3056,12148
"Black or African American, non-Hispanic",136896,59,765,1536,90,50,89,38,100203,593,201,9003,16088,56,541,812
"Asian or Pacific Islander, non-Hispanic",172831,129,1571,1448,83,43,204,89,131083,1325,350,5037,21463,184,1394,1182
"American Indian or Alaska Native, non-Hispanic",193257,21956,22144,350,5146,117,2632,507,50679,720,20983,9480,14884,56,1411,1145
Unknown,414397,1100,12768,9261,4042,306,4563,1792,173380,11437,2224,29154,65482,3709,19282,28478
Other Race,656758,1116,8529,11690,1296,86,4109,1150,423236,14239,6238,30721,89528,3450,17019,18024
Hispanic or Latino,836012,562,6938,21806,3710,1919,1404,1298,432912,6975,2425,39793,170633,39771,7880,69273
"White, non-Hispanic",2138136,3601,40259,32594,6379,1756,12762,3857,1290927,53283,15809,124020,335604,7432,68119,33433
