Category,Yavapai
Total_doses_administered,236775
Total_people_one_dose,115646
Total_people_complete,97839
total_pouluation,115646
Male-65 years and older,25560
Male-55-64 years,9077
Male-45-54 years,4983
Male-20-44 years,10049
Male-Less than 20 years,2781
Female-65 years and older,31255
Female-55-64 years,11516
Female-45-54 years,5939
Female-20-44 years,10282
Female-Less than 20 years,3056
"Black or African American, non-Hispanic",541
"Asian or Pacific Islander, non-Hispanic",1394
"American Indian or Alaska Native, non-Hispanic",1411
Hispanic or Latino,7880
Other Race,17019
Unknown,19282
"White, non-Hispanic",68119
