,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,4032557,1145551,14146,68846,106103,36086,12959,7490,12410,1478995,82632,37469,549351,170986,32715,129725,109877
Total_people_one_dose,2529589,730051,8238,44617,62652,21619,8011,4270,7948,932122,54972,23607,352211,106026,21760,80812,72653
Total_people_complete,1655985,,,,,,,,,,,,,,,,
Total_doses_ordered,3629070,,,,,,,,,,,,,,,,
65 years and older,545936,,,,,,,,,,,,,,,,
55-64 years,263515,,,,,,,,,,,,,,,,
45-54 years,177542,,,,,,,,,,,,,,,,
20-44 years,368434,,,,,,,,,,,,,,,,
Less than 20 years,35108,,,,,,,,,,,,,,,,
65 years and older,80812,,,,,,,,,,,,,,,,
55-64 years,214427,,,,,,,,,,,,,,,,
45-54 years,146706,,,,,,,,,,,,,,,,
20-44 years,305528,,,,,,,,,,,,,,,,
Less than 20 years,29018,,,,,,,,,,,,,,,,
"Black or African American, non-Hispanic",52549,,,,,,,,,,,,,,,,
"American Indian or Alaska Native, non-Hispanic",61740,,,,,,,,,,,,,,,,
"Asian or Pacific Islander, non-Hispanic",87930,,,,,,,,,,,,,,,,
Hispanic or Latino,292293,,,,,,,,,,,,,,,,
"Unknown, non-Hispanic",351866,,,,,,,,,,,,,,,,
"Other Race, non-Hispanic",447627,,,,,,,,,,,,,,,,
"White, non-Hispanic",1241362,,,,,,,,,,,,,,,,
