Category,Greenlee
Total_doses_administered,7490
Total_people_one_dose,4270
Total_people_complete,3400
Total_doses_ordered,9700
total_pouluation,10375
Male-65 years and older,502
Male-55-64 years,553
Male-45-54 years,443
Male-20-44 years,866
Male-Less than 20 years,39
Female-65 years and older,492
Female-55-64 years,399
Female-45-54 years,328
Female-20-44 years,628
Female-Less than 20 years,40
"Black or African American, non-Hispanic",0.0088972137672676
"Asian or Pacific Islander, non-Hispanic",0.0100678997892765
"American Indian or Alaska Native, non-Hispanic",0.0168578787169281
"Other Race, non-Hispanic",0.0191992507609459
"Unknown, non-Hispanic",0.081713884336221
"White, non-Hispanic",0.4132521657691407
Hispanic or Latino,0.4500117068602201
