date,inpatient_covid,inpatient_non_covid,inpatient_empty
2021-04-09,576,7010,985
2021-04-08,571,7028,974
2021-04-07,541,7047,996
2021-04-06,574,6985,1023
2021-04-05,546,6990,1034
2021-04-04,516,7025,1038
2021-04-03,538,7062,985
2021-04-02,541,7112,931
2021-04-01,572,7083,924
2021-03-31,604,6909,1060
2021-03-30,592,6870,1097
2021-03-28,549,6837,1161
2021-03-27,562,6880,1132
2021-03-26,581,6961,1049
2021-03-25,626,6960,1004
2021-03-24,628,6943,1021
2021-03-23,653,6866,1049
2021-03-22,650,6767,1158
2021-03-21,647,6767,1144
2021-03-20,631,6840,1105
2021-03-19,700,6909,978
2021-03-18,686,6915,984
2021-03-17,743,6882,954
2021-03-16,773,6824,988
2021-03-15,743,6688,1129
2021-03-14,716,6752,1085
2021-03-13,765,6734,1064
2021-03-12,814,6732,1011
2021-03-11,831,6737,984
2021-03-10,879,6687,995
2021-03-09,868,6681,1005
2021-03-08,925,6529,1083
2021-03-07,919,6661,968
2021-03-06,963,6641,957
2021-03-05,966,6650,952
2021-03-04,1043,6559,970
2021-03-03,1072,6469,1045
2021-03-02,1165,6302,1112
2021-03-01,1202,6167,1215
2021-02-28,1241,6203,1153
2021-02-27,1251,6304,1046
2021-02-26,1317,6278,1002
2021-02-25,1354,6274,964
2021-02-24,1385,6231,975
2021-02-23,1449,6107,1037
2021-02-22,1515,5897,1177
2021-02-21,1590,5874,1119
2021-02-20,1598,5932,1057
2021-02-19,1650,5908,1039
2021-02-18,1738,5910,995
2021-02-17,1823,5816,989
2021-02-16,1941,5725,972
2021-02-15,2047,5518,1069
2021-02-14,2119,5470,1049
2021-02-13,2213,5425,1020
2021-02-12,2300,5439,922
2021-02-11,2396,5381,890
2021-02-10,2507,5282,889
2021-02-09,2589,5168,921
2021-02-08,2744,4909,1018
2021-02-07,2853,4848,950
2021-02-06,2910,4862,896
2021-02-05,3060,4718,890
2021-02-04,3167,4666,830
2021-02-03,3303,4569,797
2021-02-02,3456,4345,853
2021-02-01,3513,4289,887
