Category,Apache
Total_doses_administered,32237
Total_people_one_dose,18158
Total_people_complete,11802
Total_doses_ordered,16600
total_pouluation,71808
Male-65 years and older,1925
Male-55-64 years,1279
Male-45-54 years,992
Male-20-44 years,2402
Male-Less than 20 years,2445
Female-65 years and older,2027
Female-55-64 years,1395
Female-45-54 years,985
Female-20-44 years,2166
Female-Less than 20 years,2532
"Asian or Pacific Islander, non-Hispanic",163
"Black or African American, non-Hispanic",277
Unknown,1010
Other Race,1225
Hispanic or Latino,1782
"White, non-Hispanic",3168
"American Indian or Alaska Native, non-Hispanic",10533
