Category,Navajo
Total_doses_administered,75092
Total_people_one_dose,42262
Total_people_complete,36086
Total_doses_ordered,41410
total_pouluation,112825
Male-65 years and older,6835
Male-55-64 years,3530
Male-45-54 years,2496
Male-20-44 years,5254
Male-Less than 20 years,2809
Female-65 years and older,7505
Female-55-64 years,3785
Female-45-54 years,2517
Female-20-44 years,4590
Female-Less than 20 years,2907
"Black or African American, non-Hispanic",219
"Asian or Pacific Islander, non-Hispanic",405
Unknown,2147
Hispanic or Latino,2203
Other Race,8169
"White, non-Hispanic",14192
"American Indian or Alaska Native, non-Hispanic",14927
