Category,La Paz
Total_doses_administered,17641
Total_people_one_dose,9717
Total_people_complete,8655
Total_doses_ordered,19050
total_pouluation,22085
Male-65 years and older,3131
Male-55-64 years,695
Male-45-54 years,320
Male-20-44 years,526
Male-Less than 20 years,147
Female-65 years and older,3038
Female-55-64 years,854
Female-45-54 years,356
Female-20-44 years,467
Female-Less than 20 years,163
"Black or African American, non-Hispanic",30
"Asian or Pacific Islander, non-Hispanic",73
"American Indian or Alaska Native, non-Hispanic",203
Hispanic or Latino,1017
Other Race,1107
Unknown,2648
"White, non-Hispanic",4639
