Category,Yavapai
Total_doses_administered,188744
Total_people_one_dose,108317
Total_people_complete,90637
Total_doses_ordered,168620
total_pouluation,232386
Male-65 years and older,23899
Male-55-64 years,8472
Male-45-54 years,4906
Male-20-44 years,9521
Male-Less than 20 years,1944
Female-65 years and older,29860
Female-55-64 years,10836
Female-45-54 years,5716
Female-20-44 years,9670
Female-Less than 20 years,2183
"Black or African American, non-Hispanic",551
"American Indian or Alaska Native, non-Hispanic",1073
"Asian or Pacific Islander, non-Hispanic",1415
Hispanic or Latino,6720
Other Race,16571
Unknown,27314
"White, non-Hispanic",54673
