Category,Gila
Total_doses_administered,51945
Total_people_one_dose,29039
Total_people_complete,25568
Total_doses_ordered,36740
total_pouluation,55159
Male-65 years and older,5873
Male-55-64 years,2637
Male-45-54 years,1611
Male-20-44 years,3142
Male-Less than 20 years,726
Female-65 years and older,6229
Female-55-64 years,2923
Female-45-54 years,1712
Female-20-44 years,3264
Female-Less than 20 years,861
"Black or African American, non-Hispanic",96
"Asian or Pacific Islander, non-Hispanic",258
Hispanic or Latino,1313
Other Race,4821
Unknown,5429
"American Indian or Alaska Native, non-Hispanic",5789
"White, non-Hispanic",11333
