Category,Gila
Total_doses_administered,55477
Total_people_one_dose,25984
Total_people_complete,22883
total_pouluation,25984
Male-65 years and older,5808
Male-55-64 years,2225
Male-45-54 years,1256
Male-20-44 years,2400
Male-Less than 20 years,694
Female-65 years and older,6205
Female-55-64 years,2599
Female-45-54 years,1394
Female-20-44 years,2573
Female-Less than 20 years,772
"Black or African American, non-Hispanic",89
"Asian or Pacific Islander, non-Hispanic",204
Hispanic or Latino,1428
"American Indian or Alaska Native, non-Hispanic",2653
Other Race,4152
Unknown,4572
"White, non-Hispanic",12886
