Category,Arizona
Total_doses_administered,9581012
Total_people_complete,3931207
total_pouluation,7189020
Total_people_one_dose,4629361
Male-65 years and older,565618
Male-55-64 years,328920
Male-45-54 years,296818
Male-20-44 years,736711
Male-Less than 20 years,260803
Female-65 years and older,688330
Female-55-64 years,374320
Female-45-54 years,319813
Female-20-44 years,770454
Female-Less than 20 years,267660
"Black or African American, non-Hispanic",139635
"Asian or Pacific Islander, non-Hispanic",176618
"American Indian or Alaska Native, non-Hispanic",198274
Unknown,420605
Other Race,665084
Hispanic or Latino,859151
"White, non-Hispanic",2169994
