Category,Cochise
Total_doses_administered,162070
Total_people_one_dose,80681
Total_people_complete,66840
total_pouluation,80681
Male-65 years and older,11207
Male-55-64 years,5511
Male-45-54 years,4317
Male-20-44 years,11581
Male-Less than 20 years,5395
Female-65 years and older,13141
Female-55-64 years,6537
Female-45-54 years,4836
Female-20-44 years,12280
Female-Less than 20 years,5775
"American Indian or Alaska Native, non-Hispanic",359
"Asian or Pacific Islander, non-Hispanic",1473
"Black or African American, non-Hispanic",1576
Unknown,9467
Other Race,11848
Hispanic or Latino,22870
"White, non-Hispanic",33088
