Category,Coconino
Total_doses_administered,202472
Total_people_one_dose,94346
Total_people_complete,81640
total_pouluation,94346
Male-65 years and older,9409
Male-55-64 years,6350
Male-45-54 years,5794
Male-20-44 years,17124
Male-Less than 20 years,6029
Female-65 years and older,10594
Female-55-64 years,7122
Female-45-54 years,5870
Female-20-44 years,19510
Female-Less than 20 years,6276
"Black or African American, non-Hispanic",784
"Asian or Pacific Islander, non-Hispanic",1631
Hispanic or Latino,7107
Other Race,8664
Unknown,12545
"American Indian or Alaska Native, non-Hispanic",22488
"White, non-Hispanic",41127
