Category,La Paz
Total_doses_administered,17927
Total_people_one_dose,8918
Total_people_complete,7524
total_pouluation,8918
Male-65 years and older,2413
Male-55-64 years,611
Male-45-54 years,327
Male-20-44 years,673
Male-Less than 20 years,364
Female-65 years and older,2435
Female-55-64 years,737
Female-45-54 years,372
Female-20-44 years,600
Female-Less than 20 years,368
"Black or African American, non-Hispanic",39
"Asian or Pacific Islander, non-Hispanic",89
"American Indian or Alaska Native, non-Hispanic",526
Other Race,1177
Hispanic or Latino,1337
Unknown,1834
"White, non-Hispanic",3916
