Category,Mohave
Total_doses_administered,183753
Total_people_one_dose,89975
Total_people_complete,76304
total_pouluation,89975
Male-65 years and older,20912
Male-55-64 years,8222
Male-45-54 years,4279
Male-20-44 years,7487
Male-Less than 20 years,1781
Female-65 years and older,23072
Female-55-64 years,9564
Female-45-54 years,4833
Female-20-44 years,7668
Female-Less than 20 years,1979
"Black or African American, non-Hispanic",616
"American Indian or Alaska Native, non-Hispanic",733
"Asian or Pacific Islander, non-Hispanic",1364
Hispanic or Latino,7150
Unknown,11499
Other Race,14373
"White, non-Hispanic",54240
