Category,Navajo
Total_doses_administered,98920
Total_people_one_dose,48888
Total_people_complete,40422
total_pouluation,48888
Male-65 years and older,7314
Male-55-64 years,3574
Male-45-54 years,2696
Male-20-44 years,5792
Male-Less than 20 years,4318
Female-65 years and older,8250
Female-55-64 years,4101
Female-45-54 years,2710
Female-20-44 years,5670
Female-Less than 20 years,4427
"Black or African American, non-Hispanic",204
"Asian or Pacific Islander, non-Hispanic",357
Unknown,2294
Hispanic or Latino,2481
Other Race,6303
"White, non-Hispanic",15975
"American Indian or Alaska Native, non-Hispanic",21274
