Category,Greenlee
Total_doses_administered,9339
Total_people_one_dose,4374
Total_people_complete,3763
total_pouluation,4374
Male-65 years and older,516
Male-55-64 years,369
Male-45-54 years,325
Male-20-44 years,786
Male-Less than 20 years,225
Female-65 years and older,517
Female-55-64 years,317
Female-45-54 years,327
Female-20-44 years,759
Female-Less than 20 years,231
"Asian or Pacific Islander, non-Hispanic",43
"Black or African American, non-Hispanic",53
Other Race,90
"American Indian or Alaska Native, non-Hispanic",122
Unknown,314
"White, non-Hispanic",1780
Hispanic or Latino,1972
