,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,2904159,766919,12063,48344,81791,25551,9515,6655,9682,1087589,56584,29606,405357,123333,23024,104876,78015
Total_people_one_dose,1831456,500443,7205,32407,50085,16269,5807,3787,6074,685479,38634,19244,257181,79226,14486,62338,52791
Total_people_complete,1136413,,,,,,,,,,,,,,,,
Total_doses_ordered,2819270,,,,,,,,,,,,,,,,
65 years and older,494219,,,,,,,,,,,,,,,,
55-64 years,203584,,,,,,,,,,,,,,,,
45-54 years,107884,,,,,,,,,,,,,,,,
20-44 years,223335,,,,,,,,,,,,,,,,
Less than 20 years,9882,,,,,,,,,,,,,,,,
65 years and older,14486,,,,,,,,,,,,,,,,
55-64 years,157668,,,,,,,,,,,,,,,,
45-54 years,75985,,,,,,,,,,,,,,,,
20-44 years,150464,,,,,,,,,,,,,,,,
Less than 20 years,6583,,,,,,,,,,,,,,,,
"Black or African American, non-Hispanic",33266,,,,,,,,,,,,,,,,
"American Indian or Alaska Native, non-Hispanic",49276,,,,,,,,,,,,,,,,
"Asian or Pacific Islander, non-Hispanic",51204,,,,,,,,,,,,,,,,
Hispanic or Latino,172366,,,,,,,,,,,,,,,,
"Unknown, non-Hispanic",273342,,,,,,,,,,,,,,,,
"Other Race, non-Hispanic",341870,,,,,,,,,,,,,,,,
"White, non-Hispanic",910602,,,,,,,,,,,,,,,,
