Category,La Paz
Total_doses_administered,15614
Total_people_one_dose,8222
Total_people_complete,7252
total_pouluation,8222
Male-65 years and older,2269
Male-55-64 years,587
Male-45-54 years,304
Male-20-44 years,620
Male-Less than 20 years,253
Female-65 years and older,2317
Female-55-64 years,688
Female-45-54 years,357
Female-20-44 years,549
Female-Less than 20 years,261
"Black or African American, non-Hispanic",32
"Asian or Pacific Islander, non-Hispanic",85
"American Indian or Alaska Native, non-Hispanic",381
Other Race,1176
Hispanic or Latino,1188
Unknown,1894
"White, non-Hispanic",3466
