Category,Yavapai
Total_doses_administered,211220
Total_people_one_dose,110595
Total_people_complete,94966
total_pouluation,110595
Male-65 years and older,24484
Male-55-64 years,8769
Male-45-54 years,4807
Male-20-44 years,9617
Male-Less than 20 years,2242
Female-65 years and older,30307
Female-55-64 years,11186
Female-45-54 years,5722
Female-20-44 years,9768
Female-Less than 20 years,2545
"Black or African American, non-Hispanic",492
"American Indian or Alaska Native, non-Hispanic",1240
"Asian or Pacific Islander, non-Hispanic",1253
Hispanic or Latino,7355
Other Race,17210
Unknown,24401
"White, non-Hispanic",58644
