Category,Apache
Total_doses_administered,39673
Total_people_one_dose,21776
Total_people_complete,16780
total_pouluation,21776
Male-65 years and older,2310
Male-55-64 years,1591
Male-45-54 years,1208
Male-20-44 years,2848
Male-Less than 20 years,2714
Female-65 years and older,2718
Female-55-64 years,1708
Female-45-54 years,1225
Female-20-44 years,2660
Female-Less than 20 years,2786
"Black or African American, non-Hispanic",48
"Asian or Pacific Islander, non-Hispanic",111
Hispanic or Latino,494
Other Race,1243
Unknown,1505
"White, non-Hispanic",3267
"American Indian or Alaska Native, non-Hispanic",15108
