Category,Greenlee
Total_doses_administered,8048
Total_people_one_dose,4094
Total_people_complete,3636
total_pouluation,4094
Male-65 years and older,498
Male-55-64 years,371
Male-45-54 years,314
Male-20-44 years,762
Male-Less than 20 years,145
Female-65 years and older,500
Female-55-64 years,317
Female-45-54 years,312
Female-20-44 years,724
Female-Less than 20 years,149
"Asian or Pacific Islander, non-Hispanic",41
"Black or African American, non-Hispanic",42
"American Indian or Alaska Native, non-Hispanic",103
Other Race,112
Unknown,309
"White, non-Hispanic",1661
Hispanic or Latino,1826
