Category,Arizona
Total_doses_administered,8403581
Total_people_complete,382264
total_pouluation,7189020
Total_people_one_dose,4288417
Male-65 years and older,537882
Male-55-64 years,313469
Male-45-54 years,282940
Male-20-44 years,695909
Male-Less than 20 years,190841
Female-65 years and older,658458
Female-55-64 years,357690
Female-45-54 years,305757
Female-20-44 years,726435
Female-Less than 20 years,199412
"Black or African American, non-Hispanic",121883
"Asian or Pacific Islander, non-Hispanic",155057
"American Indian or Alaska Native, non-Hispanic",162862
Unknown,473951
Other Race,682989
Hispanic or Latino,762256
"White, non-Hispanic",1929419
