Category,Coconino
Total_doses_administered,174693
Total_people_one_dose,87650
Total_people_complete,79676
total_pouluation,87650
Male-65 years and older,9056
Male-55-64 years,6113
Male-45-54 years,5573
Male-20-44 years,16370
Male-Less than 20 years,4226
Female-65 years and older,10254
Female-55-64 years,6913
Female-45-54 years,5696
Female-20-44 years,18641
Female-Less than 20 years,4550
"Black or African American, non-Hispanic",672
"Asian or Pacific Islander, non-Hispanic",1418
Hispanic or Latino,6345
Other Race,10343
Unknown,15197
"American Indian or Alaska Native, non-Hispanic",19169
"White, non-Hispanic",34506
