Category,Mohave
Total_doses_administered,160829
Total_people_one_dose,84729
Total_people_complete,73262
total_pouluation,84729
Male-65 years and older,19624
Male-55-64 years,7829
Male-45-54 years,4049
Male-20-44 years,7009
Male-Less than 20 years,1458
Female-65 years and older,22063
Female-55-64 years,9198
Female-45-54 years,4591
Female-20-44 years,7079
Female-Less than 20 years,1656
"Black or African American, non-Hispanic",531
"American Indian or Alaska Native, non-Hispanic",642
"Asian or Pacific Islander, non-Hispanic",1202
Hispanic or Latino,6524
Unknown,13271
Other Race,15005
"White, non-Hispanic",47554
