Category,Yuma
Total_doses_administered,258462
Total_people_one_dose,137522
Total_people_complete,121187
total_pouluation,137522
Male-65 years and older,14849
Male-55-64 years,9693
Male-45-54 years,8664
Male-20-44 years,25802
Male-Less than 20 years,7965
Female-65 years and older,17358
Female-55-64 years,10339
Female-45-54 years,9525
Female-20-44 years,24369
Female-Less than 20 years,8504
"Black or African American, non-Hispanic",687
"Asian or Pacific Islander, non-Hispanic",1044
"American Indian or Alaska Native, non-Hispanic",1051
Other Race,15141
"White, non-Hispanic",28103
Unknown,30557
Hispanic or Latino,60939
