Category,Graham
Total_doses_administered,37954
Total_people_one_dose,19694
Total_people_complete,17790
total_pouluation,19694
Male-65 years and older,2330
Male-55-64 years,1540
Male-45-54 years,1388
Male-20-44 years,3397
Male-Less than 20 years,845
Female-65 years and older,2803
Female-55-64 years,1674
Female-45-54 years,1358
Female-20-44 years,3404
Female-Less than 20 years,943
"Black or African American, non-Hispanic",80
"Asian or Pacific Islander, non-Hispanic",90
Other Race,1531
Hispanic or Latino,3451
Unknown,4220
"American Indian or Alaska Native, non-Hispanic",4726
"White, non-Hispanic",5596
