Category,Greenlee
Total_doses_administered,7851
Total_people_one_dose,4080
Total_people_complete,3622
total_pouluation,4080
Male-65 years and older,495
Male-55-64 years,372
Male-45-54 years,312
Male-20-44 years,761
Male-Less than 20 years,144
Female-65 years and older,495
Female-55-64 years,316
Female-45-54 years,316
Female-20-44 years,719
Female-Less than 20 years,148
"Black or African American, non-Hispanic",41
"Asian or Pacific Islander, non-Hispanic",41
"American Indian or Alaska Native, non-Hispanic",102
Other Race,109
Unknown,310
"White, non-Hispanic",1655
Hispanic or Latino,1822
