Category,Maricopa
Total_doses_administered,4880316
Total_people_one_dose,2472640
Total_people_complete,2229745
total_pouluation,2472640
Male-65 years and older,274971
Male-55-64 years,181601
Male-45-54 years,175167
Male-20-44 years,414729
Male-Less than 20 years,111484
Female-65 years and older,344493
Female-55-64 years,204869
Female-45-54 years,190738
Female-20-44 years,444541
Female-Less than 20 years,115639
"American Indian or Alaska Native, non-Hispanic",45481
"Black or African American, non-Hispanic",89383
"Asian or Pacific Islander, non-Hispanic",117613
Unknown,195138
Hispanic or Latino,399515
Other Race,446598
"White, non-Hispanic",1178912
