Category,Coconino
Total_doses_administered,170872
Total_people_one_dose,87048
Total_people_complete,79350
total_pouluation,87048
Male-65 years and older,9002
Male-55-64 years,6075
Male-45-54 years,5541
Male-20-44 years,16241
Male-Less than 20 years,4180
Female-65 years and older,10189
Female-55-64 years,6883
Female-45-54 years,5679
Female-20-44 years,18499
Female-Less than 20 years,4502
"Black or African American, non-Hispanic",666
"Asian or Pacific Islander, non-Hispanic",1396
Hispanic or Latino,6296
Other Race,10440
Unknown,15346
"American Indian or Alaska Native, non-Hispanic",18951
"White, non-Hispanic",33953
