Category,Navajo
Total_doses_administered,83390
Total_people_one_dose,44025
Total_people_complete,38215
total_pouluation,44025
Male-65 years and older,6915
Male-55-64 years,3381
Male-45-54 years,2476
Male-20-44 years,5319
Male-Less than 20 years,3217
Female-65 years and older,7815
Female-55-64 years,3861
Female-45-54 years,2479
Female-20-44 years,5151
Female-Less than 20 years,3376
"Black or African American, non-Hispanic",183
"Asian or Pacific Islander, non-Hispanic",353
Hispanic or Latino,2253
Unknown,2661
Other Race,7810
"White, non-Hispanic",13696
"American Indian or Alaska Native, non-Hispanic",17069
