Category,Apache
Total_doses_administered,38504
Total_people_one_dose,21269
Total_people_complete,16650
total_pouluation,21269
Male-65 years and older,2251
Male-55-64 years,1544
Male-45-54 years,1173
Male-20-44 years,2769
Male-Less than 20 years,2705
Female-65 years and older,2636
Female-55-64 years,1638
Female-45-54 years,1183
Female-20-44 years,2584
Female-Less than 20 years,2778
"Black or African American, non-Hispanic",47
"Asian or Pacific Islander, non-Hispanic",110
Hispanic or Latino,485
Other Race,1229
Unknown,1510
"White, non-Hispanic",3234
"American Indian or Alaska Native, non-Hispanic",14654
