Category,Mohave
Total_doses_administered,157341
Total_people_one_dose,84155
Total_people_complete,72693
total_pouluation,84155
Male-65 years and older,19434
Male-55-64 years,7802
Male-45-54 years,4026
Male-20-44 years,6961
Male-Less than 20 years,1453
Female-65 years and older,21891
Female-55-64 years,9174
Female-45-54 years,4567
Female-20-44 years,7032
Female-Less than 20 years,1642
"Black or African American, non-Hispanic",522
"American Indian or Alaska Native, non-Hispanic",635
"Asian or Pacific Islander, non-Hispanic",1192
Hispanic or Latino,6474
Unknown,13334
Other Race,14982
"White, non-Hispanic",47016
