Category,Arizona
Total_doses_administered,8261570
Total_people_complete,372068
total_pouluation,7189020
Total_people_one_dose,4256495
Male-65 years and older,533396
Male-55-64 years,311759
Male-45-54 years,281020
Male-20-44 years,689660
Male-Less than 20 years,189051
Female-65 years and older,653932
Female-55-64 years,355816
Female-45-54 years,303999
Female-20-44 years,720848
Female-Less than 20 years,197473
"Black or African American, non-Hispanic",120642
"Asian or Pacific Islander, non-Hispanic",154018
"American Indian or Alaska Native, non-Hispanic",160714
Unknown,475062
Other Race,681441
Hispanic or Latino,754033
"White, non-Hispanic",1910585
