Category,Cochise
Total_doses_administered,132822
Total_people_one_dose,71399
Total_people_complete,63701
total_pouluation,71399
Male-65 years and older,10495
Male-55-64 years,5086
Male-45-54 years,3933
Male-20-44 years,10646
Male-Less than 20 years,3361
Female-65 years and older,12494
Female-55-64 years,6168
Female-45-54 years,4444
Female-20-44 years,11166
Female-Less than 20 years,3512
"American Indian or Alaska Native, non-Hispanic",307
"Asian or Pacific Islander, non-Hispanic",1330
"Black or African American, non-Hispanic",1362
Unknown,9660
Other Race,11464
Hispanic or Latino,17768
"White, non-Hispanic",29508
