Category,Yavapai
Total_doses_administered,205996
Total_people_one_dose,109798
Total_people_complete,94399
total_pouluation,109798
Male-65 years and older,24231
Male-55-64 years,8734
Male-45-54 years,4775
Male-20-44 years,9537
Male-Less than 20 years,2230
Female-65 years and older,30102
Female-55-64 years,11140
Female-45-54 years,5681
Female-20-44 years,9685
Female-Less than 20 years,2535
"Black or African American, non-Hispanic",483
"American Indian or Alaska Native, non-Hispanic",1228
"Asian or Pacific Islander, non-Hispanic",1242
Hispanic or Latino,7275
Other Race,17094
Unknown,24915
"White, non-Hispanic",57561
